node1,node2
CD74,MYC
CD74,NR2F1
CD74,POLR2A
CD74,RAD21
CD74,RFX5
CD74,SMC3
CD74,SP1
CD74,SPI1
CD74,STAG1
CD74,CEBPA
CD74,CEBPB
CD74,CTCF
CD74,CTCFL
CD74,ERG
CD74,FOS
CD74,FOXA1
CD74,HNF4A
CD74,IRF4
CD74,MAX
CTSH,EP300
CTSH,FOS
CTSH,FOSL2
CTSH,FOXA1
CTSH,FOXA2
CTSH,GATA1
CTSH,GATA2
CTSH,GATA3
CTSH,GATA4
CTSH,GATA6
CTSH,GRHL2
CTSH,HNF4A
CTSH,JUN
CTSH,JUND
CTSH,SMARCA4
CTSH,SP1
CTSH,STAT3
CTSH,TAL1
CTSH,YY1
CTSH,CEBPB
CTSH,CTCF
HLA-DRB5,ESR1
HLA-DRB5,GRHL2
HLA-DRB5,RFX5
HLA-DRB5,SPI1
